version,date,downloads
0.1.0,2021-05-04T05:02:17.187Z,20
0.2.0,2021-08-21T00:45:02.245Z,
0.2.1,2021-09-19T18:42:09.083Z,2
0.2.2,2021-09-20T03:20:06.373Z,2
0.2.3,2021-09-24T18:53:23.988Z,3
0.2.4,2021-09-24T19:08:37.087Z,3
0.2.5,2021-09-26T21:46:44.160Z,
0.2.6,2021-09-27T01:40:50.349Z,
0.2.7,2021-09-27T15:57:32.003Z,1
0.2.8,2021-10-01T19:58:53.988Z,
0.2.9,2021-10-12T04:23:31.146Z,217
0.3.0,2021-12-04T18:19:28.251Z,
0.3.1,2021-12-10T16:00:06.827Z,
0.3.2,2021-12-10T17:24:43.031Z,32
0.4.0,2022-01-21T00:19:21.496Z,37
0.4.1,2022-02-18T00:44:57.965Z,
0.4.2,2022-02-26T20:44:47.175Z,3
0.4.3,2022-04-12T19:56:44.608Z,944
0.5.0,2022-06-07T04:46:42.527Z,
0.5.1,2022-06-28T00:05:34.085Z,43
0.5.2,2022-07-04T18:05:23.514Z,92
0.6.0,2022-09-07T17:22:28.591Z,79
0.6.1,2022-12-12T19:43:45.986Z,
0.6.2,2023-01-18T18:51:58.103Z,14
0.6.3,2023-02-07T04:17:23.188Z,9
0.6.4,2023-03-01T01:17:56.250Z,584
0.6.5,2023-04-01T18:38:50.488Z,11
0.6.6,2023-04-26T17:17:14.789Z,29
0.6.7-rc.1,2023-05-18T01:15:29.159Z,
0.6.7,2023-05-24T18:30:12.309Z,119
0.6.8,2023-06-03T01:00:25.068Z,89
0.6.9,2023-06-28T00:35:36.306Z,382
0.6.10,2023-08-15T16:32:18.287Z,274
0.6.11,2023-09-20T16:49:58.293Z,449
0.6.12,2023-12-08T01:35:31.860Z,189
0.6.13,2023-12-13T16:24:41.163Z,3370
0.6.14,2024-03-13T00:21:51.360Z,1232
0.6.15,2024-06-11T17:06:58.409Z,1299
0.6.16,2024-08-06T15:29:15.819Z,49234
0.6.17,2025-02-14T16:15:29.386Z,7540